prénom,nom,senateur
Serge,Vinçon,http://www.wikidata.org/entity/Q574408
Émile,Tricon,http://www.wikidata.org/entity/Q286495
Gérard,Collomb,http://www.wikidata.org/entity/Q12956
Gérard,Larcher,http://www.wikidata.org/entity/Q784021
Daniel,Dubois,http://www.wikidata.org/entity/Q113957
Daniel,Reiner,http://www.wikidata.org/entity/Q588867
Michel,Mercier,http://www.wikidata.org/entity/Q12955
Michel,Delebarre,http://www.wikidata.org/entity/Q129774
Michel,Magras,http://www.wikidata.org/entity/Q385483
Michel,Barnier,http://www.wikidata.org/entity/Q438465
Michel,Houel,http://www.wikidata.org/entity/Q611837
Michel,Durafour,http://www.wikidata.org/entity/Q691457
Nicole,Bricq,http://www.wikidata.org/entity/Q452131
Antoine,Mélenchon,http://www.wikidata.org/entity/Q5829
Antoine,Karam,http://www.wikidata.org/entity/Q585077
Julie,Vermeersch,http://www.wikidata.org/entity/Q768360
Philippe,Dallier,http://www.wikidata.org/entity/Q283553
Christophe,Béchu,http://www.wikidata.org/entity/Q544725
Yvon,Collin,http://www.wikidata.org/entity/Q586264
Yvon,Bourges,http://www.wikidata.org/entity/Q764381
Claude,Malhuret,http://www.wikidata.org/entity/Q389141
Claude,Haut,http://www.wikidata.org/entity/Q651393
Léon,David,http://www.wikidata.org/entity/Q116095
Gaston,Monnerville,http://www.wikidata.org/entity/Q443841
Gaston,Defferre,http://www.wikidata.org/entity/Q608815
Élisabeth,Lamure,http://www.wikidata.org/entity/Q12948
Élisabeth,Lamure,http://www.wikidata.org/entity/Q12948
Pascale,Gruny,http://www.wikidata.org/entity/Q439732
Janine,Rozier,http://www.wikidata.org/entity/Q691267
Jacky,Le Menn,http://www.wikidata.org/entity/Q592313
François-Noël,Buffet,http://www.wikidata.org/entity/Q12944
Muguette,Dini,http://www.wikidata.org/entity/Q12947
Marie-Christine,Blandin,http://www.wikidata.org/entity/Q274196
Marie-Noëlle,Lienemann,http://www.wikidata.org/entity/Q461454
Guy-Dominique,Kennel,http://www.wikidata.org/entity/Q761527
Pouvanaa,Oopa,http://www.wikidata.org/entity/Q352280
Pierre-Yvon,Trémel,http://www.wikidata.org/entity/Q662153
Françoise,Férat,http://www.wikidata.org/entity/Q3086489
Dominique,Vérien,http://www.wikidata.org/entity/Q45946207
Anne,Ventalon,http://www.wikidata.org/entity/Q63764964
Muriel,Cabaret,http://www.wikidata.org/entity/Q96650109
Florence,Lassarade,http://www.wikidata.org/entity/Q41545911
Françoise,Ramond,http://www.wikidata.org/entity/Q60297122
Yves,Bouloux,http://www.wikidata.org/entity/Q45936948
Alain,Sévêque,http://www.wikidata.org/entity/Q65602380
Jean-Michel,Arnaud,http://www.wikidata.org/entity/Q65563856
Mélanie,Vogel,http://www.wikidata.org/entity/Q108702159
Stéphane,Cardenes,http://www.wikidata.org/entity/Q65571317
Vincent,Segouin,http://www.wikidata.org/entity/Q55327374
Béatrice,Gosselin,http://www.wikidata.org/entity/Q65583825
Marie-Agnès,Évrard,http://www.wikidata.org/entity/Q63766849
Gérard,Lahellec,http://www.wikidata.org/entity/Q63248665
Daniel,Gueret,http://www.wikidata.org/entity/Q63763298
Daniel,Guéret,http://www.wikidata.org/entity/Q63763298
Daniel,Salmon,http://www.wikidata.org/entity/Q99672266
Bernard,Fialaire,http://www.wikidata.org/entity/Q63766165
Nadine,Grelet-Certenais,http://www.wikidata.org/entity/Q41543886
Toine,Bourrat,http://www.wikidata.org/entity/Q62077875
Christophe,Chaudun,http://www.wikidata.org/entity/Q63765268
Jean-Paul,Prince,http://www.wikidata.org/entity/Q41791083
Thierry,Meignen,http://www.wikidata.org/entity/Q48338491
Thierry,Cozic,http://www.wikidata.org/entity/Q65575530
Patrick,Chauvet,http://www.wikidata.org/entity/Q65573095
Valérie,Blandin,http://www.wikidata.org/entity/Q103067375
Cédric,Vial,http://www.wikidata.org/entity/Q62887964
Céline,Brulin,http://www.wikidata.org/entity/Q54578290
Brigitte,Devesa,http://www.wikidata.org/entity/Q63765386
Laurence,Garnier,http://www.wikidata.org/entity/Q63455902
Yan,Chantrel,http://www.wikidata.org/entity/Q108701472
Évelyne,Perrot,http://www.wikidata.org/entity/Q45956007
Pierre-Jean,Verzelen,http://www.wikidata.org/entity/Q63766731
Hussein,Bourgi,http://www.wikidata.org/entity/Q63411837
Olivier,Cigolotti,http://www.wikidata.org/entity/Q19607318
Olivier,Léonhardt,http://www.wikidata.org/entity/Q41073038
Mohamed,Lakhdari,http://www.wikidata.org/entity/Q19845792
Jacques,Desacres,http://www.wikidata.org/entity/Q3158718
Henri,Terré,http://www.wikidata.org/entity/Q3132061
Henri,Tournan,http://www.wikidata.org/entity/Q3132077
Henri,Torre,http://www.wikidata.org/entity/Q3132080
Henri,de Richemont,http://www.wikidata.org/entity/Q3132356
Marie,Longchambon,http://www.wikidata.org/entity/Q3131500
Guy,Besse,http://www.wikidata.org/entity/Q3121560
Guy,Durbec,http://www.wikidata.org/entity/Q3121753
Guy,Lemaire,http://www.wikidata.org/entity/Q3121946
Guy,Lèguevaques,http://www.wikidata.org/entity/Q3121967
Guy,Millot,http://www.wikidata.org/entity/Q3122016
Guy,Penne,http://www.wikidata.org/entity/Q3122061
Guy,Petit,http://www.wikidata.org/entity/Q3122078
Guy,Poirieux,http://www.wikidata.org/entity/Q3122082
Guy,Robert,http://www.wikidata.org/entity/Q3122105
Guy,Schmaus,http://www.wikidata.org/entity/Q3122136
