Matricule,Id appartenance,Id fonction occupée,Nom,Prénom,Code du groupe politique,Nom court du groupe politique,Date de début d'appartenance,Date de fin d'appartenance,Nom court fonction,Date de début de la fonction,Date de fin de la fonction
04069P,1814,2092,Sittler,Esther,UMP,Groupe Les Républicains,2005-02-22 00:00:00.0,2005-11-15 00:00:00.0,Membre,2005-02-22 00:00:00.0,2005-11-15 00:00:00.0
04069P,1831,2109,Sittler,Esther,UMP,Groupe Les Républicains,2005-11-16 00:00:00.0,2014-09-30 00:00:00.0,Membre,2005-11-16 00:00:00.0,2014-09-30 00:00:00.0
04069P,3049,3460,Sittler,Esther,NI,Réunion administrative des non-inscrits,2019-06-24 00:00:00.0,2019-06-25 00:00:00.0,Membre,2019-06-24 00:00:00.0,2019-06-25 00:00:00.0
04069P,3050,3461,Sittler,Esther,UMP,Groupe Les Républicains,2019-06-26 00:00:00.0,2020-09-30 00:00:00.0,Membre,2019-06-26 00:00:00.0,2020-09-30 00:00:00.0
11071M,2218,2492,Soilihi,Abdourahamane,UMP,Groupe Les Républicains,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0,Membre,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0
000279,1374,1634,Soldani,Edouard,SOC,"Groupe Socialiste, Écologiste et Républicain",,1986-10-01 00:00:00.0,Membre,,1986-10-01 00:00:00.0
19703U,2821,3215,Sol,Jean,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19703U,2965,3368,Sol,Jean,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
19713W,2839,3233,Sollogoub,Nadia,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19713W,2982,3388,Sollogoub,Nadia,UC,Groupe Union Centriste,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
20062A,3115,3530,Somon,Laurent,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
20062A,3205,3620,Somon,Laurent,UMP,Groupe Les Républicains,2020-10-05 00:00:00.0,,Membre,2020-10-05 00:00:00.0,
000452,1375,1635,Sordel,Michel,UREI,Union des Républicains et des Indépendants,,1989-10-01 00:00:00.0,Membre,,1989-10-01 00:00:00.0
81001X,136,136,Soucaret,Raymond,RDSE,Groupe du RDSE,,2001-09-30 00:00:00.0,Membre,,2001-09-30 00:00:00.0
000123,1376,1636,Soudant,Robert,RPCD,Républicains Populaires et du Centre Démocratique,,1974-10-01 00:00:00.0,Membre,,1974-10-01 00:00:00.0
000298,1377,1637,Soufflet,Jacques,UDR,Union des Démocrates pour la République,,1974-06-28 00:00:00.0,Membre,,1974-06-28 00:00:00.0
59247N,1378,1638,Souffrin,Paul,C,Communistes,,1992-10-01 00:00:00.0,Membre,,1992-10-01 00:00:00.0
01050P,558,557,Soulage,Daniel,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01050P,624,620,Soulage,Daniel,RDSE,Groupe du RDSE,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0,Membre,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0
01050P,830,826,Soulage,Daniel,UC,Groupe Union Centriste,2002-12-11 00:00:00.0,2011-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-10-05 00:00:00.0
01050P,830,2076,Soulage,Daniel,UC,Groupe Union Centriste,2002-12-11 00:00:00.0,2011-09-30 00:00:00.0,Vice-Président,2004-10-06 00:00:00.0,2011-09-30 00:00:00.0
83054V,180,180,Souplet,Michel,UC,Groupe Union Centriste,,2001-09-30 00:00:00.0,Membre,,2001-09-30 00:00:00.0
000334,1379,1639,Souquet,Marcel,SOC,"Groupe Socialiste, Écologiste et Républicain",,1980-10-01 00:00:00.0,Membre,,1980-10-01 00:00:00.0
89005M,1457,1717,Sourdille,Jacques,RPR,Groupe du RPR,,1996-07-08 00:00:00.0,Membre,,1996-07-08 00:00:00.0
