Matricule,Id appartenance,Id fonction occupée,Nom,Prénom,Code du groupe politique,Nom court du groupe politique,Date de début d'appartenance,Date de fin d'appartenance,Nom court fonction,Date de début de la fonction,Date de fin de la fonction
20102Q,3137,3552,Lahellec,Gérard,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
20102Q,3173,3588,Lahellec,Gérard,CRC,Groupe CRCE,2020-10-05 00:00:00.0,,Membre,2020-10-05 00:00:00.0,
14012N,2423,2740,Lajoux,Isabelle,SOC,"Groupe Socialiste, Écologiste et Républicain",2014-05-05 00:00:00.0,2014-09-30 00:00:00.0,Membre,2014-05-05 00:00:00.0,2014-09-30 00:00:00.0
000670,1620,1880,Lakhdari,Mohamed,GD,Gauche Démocratique,,1962-07-04 00:00:00.0,Membre,,1962-07-04 00:00:00.0
14159V,2462,2780,Lalande,Bernard,AUCUN,Sénateurs n'appartenant à aucun groupe,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0,Membre,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0
14159V,2588,2930,Lalande,Bernard,SOC,"Groupe Socialiste, Écologiste et Républicain",2014-10-07 00:00:00.0,2020-09-30 00:00:00.0,Membre,2014-10-07 00:00:00.0,2020-09-30 00:00:00.0
000758,1588,1848,Lalloy,Maurice,RPR,Groupe du RPR,,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
77046H,692,688,de La Malène,Christian,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0
77046H,192,192,de La Malène,Christian,RPR,Groupe du RPR,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
92029V,1651,1916,Lambert,Alain,AUCUN,Sénateurs n'appartenant à aucun groupe,2004-09-26 00:00:00.0,2004-09-26 00:00:00.0,Membre,2004-09-26 00:00:00.0,2004-09-26 00:00:00.0
92029V,1733,1995,Lambert,Alain,UMP,Groupe Les Républicains,2004-09-27 00:00:00.0,2010-10-18 00:00:00.0,Membre,2004-09-27 00:00:00.0,2010-10-18 00:00:00.0
92029V,182,182,Lambert,Alain,UC,Groupe Union Centriste,,2002-06-07 00:00:00.0,Membre,,2002-06-07 00:00:00.0
000706,1514,1774,Lambert,Marcel,RI,Groupe des RI,,1974-10-01 00:00:00.0,Membre,,1974-10-01 00:00:00.0
07029T,1868,2146,Laménie,Marc,NI,Réunion administrative des non-inscrits,2007-08-27 00:00:00.0,2007-09-03 00:00:00.0,Membre,2007-08-27 00:00:00.0,2007-09-03 00:00:00.0
07029T,1870,2148,Laménie,Marc,UMP,Groupe Les Républicains,2007-09-04 00:00:00.0,,Membre,2007-09-04 00:00:00.0,
000230,1167,1427,Lamousse,Georges,SOC,"Groupe Socialiste, Écologiste et Républicain",,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
04049K,1680,1943,Lamure,Élisabeth,AUCUN,Sénateurs n'appartenant à aucun groupe,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0,Membre,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0
04049K,1762,2026,Lamure,Élisabeth,UMP,Groupe Les Républicains,2004-10-05 00:00:00.0,2020-09-30 00:00:00.0,Membre,2004-10-05 00:00:00.0,2020-09-30 00:00:00.0
000303,1168,1428,Lanet,Joseph,GD,Gauche Démocratique,,1968-10-01 00:00:00.0,Membre,,1968-10-01 00:00:00.0
14029X,2744,3137,Lanfranchi Dorgal,Christine,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-09-23 00:00:00.0,2017-09-26 00:00:00.0,Membre,2017-09-23 00:00:00.0,2017-09-26 00:00:00.0
14029X,2847,3241,Lanfranchi Dorgal,Christine,NI,Réunion administrative des non-inscrits,2017-09-27 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-09-27 00:00:00.0,2017-10-02 00:00:00.0
14029X,2947,3349,Lanfranchi Dorgal,Christine,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,2020-09-30 00:00:00.0,Membre,2017-10-03 00:00:00.0,2020-09-30 00:00:00.0
88013H,708,704,Lanier,Lucien,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0
88013H,264,264,Lanier,Lucien,RPR,Groupe du RPR,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
000219,1169,1429,Laplace,Adrien,GD,Gauche Démocratique,,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
77033C,780,776,Larché,Jacques,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0
77033C,245,245,Larché,Jacques,RI,Groupe des RI,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
86034E,715,711,Larcher,Gérard,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2004-04-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-04-30 00:00:00.0
86034E,1875,2154,Larcher,Gérard,UMP,Groupe Les Républicains,2007-10-01 00:00:00.0,,Membre,2007-10-01 00:00:00.0,
86034E,290,290,Larcher,Gérard,RPR,Groupe du RPR,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
04094Q,1784,2048,Larcher,Serge,AUCUN,Sénateurs n'appartenant à aucun groupe,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0,Membre,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0
04094Q,1730,1992,Larcher,Serge,SOC,"Groupe Socialiste, Écologiste et Républicain",2004-10-05 00:00:00.0,2017-10-01 00:00:00.0,Membre,2004-10-05 00:00:00.0,2015-06-09 00:00:00.0
04094Q,1730,3003,Larcher,Serge,SOC,"Groupe Socialiste, Écologiste et Républicain",2004-10-05 00:00:00.0,2017-10-01 00:00:00.0,Membre,2015-06-10 00:00:00.0,2017-10-01 00:00:00.0
01018P,525,524,Lardeux,André,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01018P,606,603,Lardeux,André,RPR,Groupe du RPR,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0,Membre,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0
01018P,748,744,Lardeux,André,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2011-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2011-09-30 00:00:00.0
95043G,662,658,Larifla,Dominique,RDSE,Groupe du RDSE,2002-09-10 00:00:00.0,2004-09-30 00:00:00.0,Membre,2002-09-10 00:00:00.0,2004-09-30 00:00:00.0
95043G,295,295,Larifla,Dominique,SOC,"Groupe Socialiste, Écologiste et Républicain",,2002-09-09 00:00:00.0,Membre,,2002-09-09 00:00:00.0
000204,1605,1865,Lartigue,Emmanuel,UNR,Union pour la Nouvelle République,,1968-10-01 00:00:00.0,Membre,,1968-10-01 00:00:00.0
000107,1170,1430,Larue,Tony,SOC,"Groupe Socialiste, Écologiste et Républicain",,1995-07-05 00:00:00.0,Membre,,1995-07-05 00:00:00.0
19723Y,2851,3245,Lassarade,Florence,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-01 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-01 00:00:00.0,2017-10-02 00:00:00.0
19723Y,2948,3350,Lassarade,Florence,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
11111C,2206,2480,Lasserre,Jean-Jacques,UC,Groupe Union Centriste,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0,Membre,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0
98043U,362,366,Lassourd,Patrick,AUCUN,Sénateurs n'appartenant à aucun groupe,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0,Membre,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0
98043U,4,4,Lassourd,Patrick,RPR,Groupe du RPR,1998-10-05 00:00:00.0,2002-12-10 00:00:00.0,Membre,1998-10-05 00:00:00.0,2002-12-10 00:00:00.0
98043U,666,662,Lassourd,Patrick,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2003-08-28 00:00:00.0,Membre,2002-12-11 00:00:00.0,2003-08-28 00:00:00.0
59541R,1171,1431,Laucournet,Robert,SOC,"Groupe Socialiste, Écologiste et Républicain",,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
98005N,319,319,Laufoaulu,Robert,AUCUN,Sénateurs n'appartenant à aucun groupe,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0,Membre,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0
98005N,388,395,Laufoaulu,Robert,RPR,Groupe du RPR,1998-10-05 00:00:00.0,2002-12-10 00:00:00.0,Membre,1998-10-05 00:00:00.0,2002-12-10 00:00:00.0
98005N,735,731,Laufoaulu,Robert,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2018-11-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2018-11-30 00:00:00.0
98005N,3027,3434,Laufoaulu,Robert,RTLI,Groupe Les Indépendants - République et Territoires,2018-12-01 00:00:00.0,2020-09-30 00:00:00.0,Membre,2018-12-01 00:00:00.0,2020-09-30 00:00:00.0
19699S,2811,3205,Laugier,Michel,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19699S,2974,3380,Laugier,Michel,UC,Groupe Union Centriste,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
57129Y,1172,1432,Laurens,Robert,RI,Groupe des RI,,1971-10-01 00:00:00.0,Membre,,1971-10-01 00:00:00.0
000456,1173,1433,Laurent,Bernard,UC,Groupe Union Centriste,,1994-07-15 00:00:00.0,Membre,,1994-07-15 00:00:00.0
08015R,2030,2301,Laurent,Daniel,UMP,Groupe Les Républicains,2008-10-01 00:00:00.0,,Membre,2008-10-01 00:00:00.0,
12041X,2384,2705,Laurent,Pierre,CRC,Groupe CRCE,2012-09-20 00:00:00.0,,Membre,2012-09-20 00:00:00.0,
08063A,2027,2298,Laurent-Perrigot,Françoise,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-10-01 00:00:00.0,2014-09-30 00:00:00.0,Membre,2008-10-01 00:00:00.0,2014-09-30 00:00:00.0
000042,1174,1434,Laurent-Thouverey,Charles,GD,Gauche Démocratique,,1974-10-01 00:00:00.0,Membre,,1974-10-01 00:00:00.0
95002W,300,300,Lauret,Edmond,RPR,Groupe du RPR,,2001-09-30 00:00:00.0,Membre,,2001-09-30 00:00:00.0
14277B,2641,2994,Laurey,Nuihau,NI,Réunion administrative des non-inscrits,2015-05-04 00:00:00.0,2015-05-11 00:00:00.0,Membre,2015-05-04 00:00:00.0,2015-05-11 00:00:00.0
14277B,2643,2996,Laurey,Nuihau,UC,Groupe Union Centriste,2015-05-12 00:00:00.0,2020-09-30 00:00:00.0,Membre,2015-05-12 00:00:00.0,2020-09-30 00:00:00.0
86035F,710,706,Laurin,René-Georges,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0
86035F,274,274,Laurin,René-Georges,RPR,Groupe du RPR,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
59542S,1175,1435,Lauriol,Marc,RPR,Groupe du RPR,,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
19711U,2833,3227,Lavarde,Christine,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19711U,2949,3351,Lavarde,Christine,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
000072,1445,1705,de La Vasselais,Guy,NI,Réunion administrative des non-inscrits,,1971-10-01 00:00:00.0,Membre,,1971-10-01 00:00:00.0
58913V,1156,1416,De La Verpilliere,Guy,UREI,Union des Républicains et des Indépendants,,1989-10-01 00:00:00.0,Membre,,1989-10-01 00:00:00.0
000133,1446,1706,Lavy,Arthur,RI,Groupe des RI,,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
58948H,1176,1436,Lazuech,Louis,UREI,Union des Républicains et des Indépendants,,1989-10-01 00:00:00.0,Membre,,1989-10-01 00:00:00.0
000679,1515,1775,Le Basser,Francis,UNR,Union pour la Nouvelle République,,1965-10-01 00:00:00.0,Membre,,1965-10-01 00:00:00.0
000093,1177,1437,Le Bellegou,Edouard,SOC,"Groupe Socialiste, Écologiste et Républicain",,1972-12-05 00:00:00.0,Membre,,1972-12-05 00:00:00.0
58626R,1178,1438,Le Bellegou-Beguin,Geneviève,SOC,"Groupe Socialiste, Écologiste et Républicain",,1986-10-01 00:00:00.0,Membre,,1986-10-01 00:00:00.0
81011A,159,159,Le Breton,Henri,UC,Groupe Union Centriste,,2001-09-30 00:00:00.0,Membre,,2001-09-30 00:00:00.0
000014,1181,1441,Lebreton,Marcel,RI,Groupe des RI,,1968-10-01 00:00:00.0,Membre,,1968-10-01 00:00:00.0
98038X,357,360,Le Cam,Gérard,AUCUN,Sénateurs n'appartenant à aucun groupe,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0,Membre,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0
98038X,411,421,Le Cam,Gérard,CRC,Groupe CRCE,1998-10-05 00:00:00.0,2014-09-30 00:00:00.0,Membre,1998-10-05 00:00:00.0,2014-09-30 00:00:00.0
000442,1182,1442,Lecanuet,Jean,UC,Groupe Union Centriste,,1993-02-22 00:00:00.0,Membre,,1993-02-22 00:00:00.0
58941A,1183,1443,Leccia,Bastien,SOC,"Groupe Socialiste, Écologiste et Républicain",,1989-10-01 00:00:00.0,Membre,,1989-10-01 00:00:00.0
01042P,549,548,Lecerf,Jean-René,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01042P,607,604,Lecerf,Jean-René,RPR,Groupe du RPR,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0,Membre,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0
01042P,749,745,Lecerf,Jean-René,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2015-04-21 00:00:00.0,Membre,2002-12-11 00:00:00.0,2015-04-21 00:00:00.0
000248,1184,1444,Lechenault,France,GD,Gauche Démocratique,,1986-10-01 00:00:00.0,Membre,,1986-10-01 00:00:00.0
92030N,680,676,Leclerc,Dominique,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2011-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2011-09-30 00:00:00.0
92030N,108,108,Leclerc,Dominique,RPR,Groupe du RPR,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
11026G,2229,2503,Leconte,Jean-Yves,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,,Membre,2011-10-01 00:00:00.0,
19265T,3148,3563,Lecornu,Sébastien,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
19265T,3233,3648,Lecornu,Sébastien,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2020-10-05 00:00:00.0,2020-11-01 00:00:00.0,Membre,2020-10-05 00:00:00.0,2020-11-01 00:00:00.0
58924Y,1574,1834,Le Cozannet,Yves,UC,Groupe Union Centriste,,1989-10-01 00:00:00.0,Membre,,1989-10-01 00:00:00.0
59543T,1185,1445,Lederman,Charles,C,Communistes,,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
97006K,167,167,Lefebvre,Pierre,CRC,Groupe CRCE,,2001-09-30 00:00:00.0,Membre,,2001-09-30 00:00:00.0
19677L,2773,3167,Lefebvre,Nadège,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19677L,2950,3352,Lefebvre,Nadège,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,2017-11-24 00:00:00.0,Membre,2017-10-03 00:00:00.0,2017-11-24 00:00:00.0
08010L,2031,2302,Lefèvre,Antoine,UMP,Groupe Les Républicains,2008-10-01 00:00:00.0,,Membre,2008-10-01 00:00:00.0,
000280,1186,1446,Lefort,Fernand,C,Communistes,,1986-10-01 00:00:00.0,Membre,,1986-10-01 00:00:00.0
000325,1447,1707,Legaret,Jean,RI,Groupe des RI,,1976-02-16 00:00:00.0,Membre,,1976-02-16 00:00:00.0
92031P,686,682,Legendre,Jacques,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2017-10-01 00:00:00.0,Membre,2002-12-11 00:00:00.0,2017-10-01 00:00:00.0
92031P,170,170,Legendre,Jacques,RPR,Groupe du RPR,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
08034U,2018,2289,de Legge,Dominique,UMP,Groupe Les Républicains,2008-10-01 00:00:00.0,,Membre,2008-10-01 00:00:00.0,
19709B,2825,3219,Le Gleut,Ronan,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19709B,2951,3353,Le Gleut,Ronan,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,2018-06-04 00:00:00.0
19709B,2951,3412,Le Gleut,Ronan,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,,Membre,2018-06-05 00:00:00.0,
000201,1187,1447,Legouez,Modeste,UREI,Union des Républicains et des Indépendants,,1989-01-30 00:00:00.0,Membre,,1989-01-30 00:00:00.0
82002D,683,679,Le Grand,Jean-François,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2011-05-31 00:00:00.0,Membre,2002-12-11 00:00:00.0,2011-05-31 00:00:00.0
82002D,2123,2401,Le Grand,Jean-François,NI,Réunion administrative des non-inscrits,2011-06-01 00:00:00.0,2011-09-30 00:00:00.0,Membre,2011-06-01 00:00:00.0,2011-09-30 00:00:00.0
82002D,142,142,Le Grand,Jean-François,RPR,Groupe du RPR,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
000531,1188,1448,Legrand,Bernard,RDE,Rassemblement Démocratique et Européen,,1992-10-01 00:00:00.0,Membre,,1992-10-01 00:00:00.0
000693,1516,1776,Legros,Marcel,RI,Groupe des RI,,1971-10-28 00:00:00.0,Membre,,1971-10-28 00:00:00.0
96001A,81,81,Lèguevaques,Guy,SOC,"Groupe Socialiste, Écologiste et Républicain",,1998-09-30 00:00:00.0,Membre,,1998-09-30 00:00:00.0
18193Q,3138,3553,Le Houerou,Annie,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
18193Q,3217,3632,Le Houerou,Annie,SOC,"Groupe Socialiste, Écologiste et Républicain",2020-10-05 00:00:00.0,,Membre,2020-10-05 00:00:00.0,
80024B,348,351,Lejeune,André,AUCUN,Sénateurs n'appartenant à aucun groupe,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0,Membre,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0
80024B,396,404,Lejeune,André,SOC,"Groupe Socialiste, Écologiste et Républicain",1998-10-05 00:00:00.0,2009-09-09 00:00:00.0,Membre,1998-10-05 00:00:00.0,2009-09-09 00:00:00.0
000206,1189,1449,Lejeune,Max,RDE,Rassemblement Démocratique et Européen,,1995-09-24 00:00:00.0,Membre,,1995-09-24 00:00:00.0
71024A,75,75,Le Jeune,Edouard,UC,Groupe Union Centriste,,1998-09-30 00:00:00.0,Membre,,1998-09-30 00:00:00.0
08039A,2058,2329,Leleux,Jean-Pierre,UMP,Groupe Les Républicains,2008-10-01 00:00:00.0,2020-09-30 00:00:00.0,Membre,2008-10-01 00:00:00.0,2011-10-30 00:00:00.0
08039A,2058,2655,Leleux,Jean-Pierre,UMP,Groupe Les Républicains,2008-10-01 00:00:00.0,2020-09-30 00:00:00.0,Vice-Président,2011-11-01 00:00:00.0,2014-10-06 00:00:00.0
08039A,2058,2852,Leleux,Jean-Pierre,UMP,Groupe Les Républicains,2008-10-01 00:00:00.0,2020-09-30 00:00:00.0,Membre,2014-10-07 00:00:00.0,2020-09-30 00:00:00.0
92032Q,128,128,Lemaire,Guy,RPR,Groupe du RPR,,2001-09-30 00:00:00.0,Membre,,2001-09-30 00:00:00.0
000144,1575,1835,Lemaire,Marcel,UCDP,Union Centriste des Démocrates de Progrès,,1983-10-02 00:00:00.0,Membre,,1983-10-02 00:00:00.0
000320,1190,1450,Lemarié,Bernard,UC,Groupe Union Centriste,,1989-10-01 00:00:00.0,Membre,,1989-10-01 00:00:00.0
08037X,2019,2290,Le Menn,Jacky,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-10-01 00:00:00.0,2014-09-30 00:00:00.0,Membre,2008-10-01 00:00:00.0,2014-09-30 00:00:00.0
000170,1179,1439,Le Montagner,Louis,UCDP,Union Centriste des Démocrates de Progrès,,1983-01-30 00:00:00.0,Membre,,1983-01-30 00:00:00.0
14037X,2507,2825,Lemoyne,Jean-Baptiste,AUCUN,Sénateurs n'appartenant à aucun groupe,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0,Membre,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0
14037X,2554,2886,Lemoyne,Jean-Baptiste,UMP,Groupe Les Républicains,2014-10-07 00:00:00.0,2017-06-27 00:00:00.0,Membre,2014-10-07 00:00:00.0,2017-06-27 00:00:00.0
14037X,2705,3087,Lemoyne,Jean-Baptiste,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2017-06-28 00:00:00.0,2017-07-22 00:00:00.0,Membre,2017-06-28 00:00:00.0,2017-07-22 00:00:00.0
14037X,3105,3520,Lemoyne,Jean-Baptiste,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
14037X,3234,3649,Lemoyne,Jean-Baptiste,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2020-10-05 00:00:00.0,2020-11-01 00:00:00.0,Membre,2020-10-05 00:00:00.0,2020-11-01 00:00:00.0
16685X,2761,3155,Le Nay,Jacques,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
16685X,2975,3381,Le Nay,Jacques,UC,Groupe Union Centriste,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
59545V,1191,1451,Lenglet,Charles-Edmond,RDE,Rassemblement Démocratique et Européen,,1995-09-24 00:00:00.0,Membre,,1995-09-24 00:00:00.0
11100Y,2224,2498,Lenoir,Jean-Claude,UMP,Groupe Les Républicains,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0,Membre,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0
11003M,2122,2399,Léonard,Claude,UMP,Groupe Les Républicains,2011-03-28 00:00:00.0,2011-09-30 00:00:00.0,Membre,2011-03-28 00:00:00.0,2011-09-30 00:00:00.0
11003M,2336,2626,Léonard,Claude,UMP,Groupe Les Républicains,2011-11-02 00:00:00.0,2012-06-16 00:00:00.0,Membre,2011-11-02 00:00:00.0,2012-06-16 00:00:00.0
19289C,2793,3187,Léonhardt,Olivier,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19289C,2895,3291,Léonhardt,Olivier,RDSE,Groupe du RDSE,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
08017T,2048,2319,Lepage,Claudine,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-10-01 00:00:00.0,2021-09-30 00:00:00.0,Membre,2008-10-01 00:00:00.0,2021-09-30 00:00:00.0
98025S,342,343,Lepeltier,Serge,AUCUN,Sénateurs n'appartenant à aucun groupe,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0,Membre,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0
98025S,381,388,Lepeltier,Serge,RPR,Groupe du RPR,1998-10-05 00:00:00.0,2002-12-10 00:00:00.0,Membre,1998-10-05 00:00:00.0,2002-05-09 00:00:00.0
98025S,381,1894,Lepeltier,Serge,RPR,Groupe du RPR,1998-10-05 00:00:00.0,2002-12-10 00:00:00.0,Président délégué,2002-05-10 00:00:00.0,2002-12-10 00:00:00.0
98025S,730,726,Lepeltier,Serge,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2004-04-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-04-30 00:00:00.0
98051U,370,377,Le Pensec,Louis,AUCUN,Sénateurs n'appartenant à aucun groupe,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0,Membre,1998-10-01 00:00:00.0,1998-10-04 00:00:00.0
98051U,395,403,Le Pensec,Louis,SOC,"Groupe Socialiste, Écologiste et Républicain",1998-10-05 00:00:00.0,2008-09-30 00:00:00.0,Membre,1998-10-05 00:00:00.0,2008-09-30 00:00:00.0
58652T,1180,1440,Le Pors,Anicet,C,Communistes,,1981-07-23 00:00:00.0,Membre,,1981-07-23 00:00:00.0
19483C,2829,3223,Leroux,Sébastien,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19483C,2952,3354,Leroux,Sébastien,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,2018-04-13 00:00:00.0,Membre,2017-10-03 00:00:00.0,2018-04-13 00:00:00.0
11059R,2251,2525,Leroy,Jean-Claude,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2017-10-01 00:00:00.0,Membre,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0
01061S,570,569,Leroy,Philippe,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01061S,608,605,Leroy,Philippe,RPR,Groupe du RPR,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0,Membre,2001-10-02 00:00:00.0,2002-12-10 00:00:00.0
01061S,750,746,Leroy,Philippe,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2017-10-01 00:00:00.0,Membre,2002-12-11 00:00:00.0,2017-10-01 00:00:00.0
19729F,2854,3248,Leroy,Henri,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-01 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-01 00:00:00.0,2017-10-02 00:00:00.0
19729F,2953,3355,Leroy,Henri,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
